NAME	cluster dominant cell type	supercluster for LDSC-SEG	X	Y
TYPE	group	group	numeric	numeric
0	prostate cancer cell	prostate cancer	-9.846066658940142	15.959371572817775
1	plasmablast	B lineage	-5.832184036722697	-11.471057286257007
2	prostate cancer cell	prostate cancer	-9.80474570951871	15.918493443724914
3	prostate cancer cell	prostate cancer	-9.771316670246197	15.883966036596453
4	CD4+ T cell	NK/T	6.499260660781198	-2.979781560022202
5	CD4+ T cell	NK/T	7.475165635026343	-1.7224391844574498
6	CD8+ CXCR4+ T cell	NK/T	5.084766152277215	-5.534099716904658
7	CD8+ CXCR4+ T cell	NK/T	5.2157208743574595	-5.704267362367684
8	CD4+ T cell	NK/T	8.136525341596961	-1.6681152279193998
9	CD16+ NK cell	NK/T	2.9713249078695236	-6.796301514636683
10	CD8+ CXCR4+ T cell	NK/T	5.308845721963721	-5.489921735570926
11	CD8+ CXCR4+ T cell	NK/T	5.241260448597464	-3.2636597184672502
12	CD4+ T cell	NK/T	7.653967808270251	-1.1765311608883917
13	CD8+ CXCR4+ T cell	NK/T	7.8318848531458025	-2.8928707964197327
14	CD8+ GNLY+ T cell	NK/T	2.576594112717452	-5.058696055945436
15	CD8+ CXCR4+ T cell	NK/T	6.0227367339520015	-2.5352027448375294
16	CD8+ CXCR4+ T cell	NK/T	6.251999409674036	-2.2614788208675836
17	CD4+ T cell	NK/T	7.6567779256414115	-1.8142345291308006
18	B cell	B lineage	-8.6610087141731	-12.061852656729904
19	CD8+ GNLY+ T cell	NK/T	2.832593242312069	-6.262395174182476
20	CD8+ GNLY+ T cell	NK/T	2.7531308115034303	-5.764503020224778
21	B cell	B lineage	-8.312166814466144	-11.535071815098195
22	CD8+ CXCR4+ T cell	NK/T	3.0516066301652556	-5.19109140141603
23	CD8+ PD1+ T cell	NK/T	7.289349768005855	-1.2295748506791424
24	plasmablast	B lineage	-6.122611214208452	-11.417842583276745
25	CD8+ GNLY+ T cell	NK/T	3.2366569944823538	-6.293556624849506
26	CD4+ T cell	NK/T	7.55884262409428	-1.267550576823267
27	CD4+ T cell	NK/T	7.626321397171293	-1.8536982619154
28	CD4+ T cell	NK/T	8.034677838560924	-1.477488130219881
29	B cell	B lineage	-8.286921781164134	-11.575378149749032
30	CD8+ GNLY+ T cell	NK/T	3.8894679697982375	-6.167501463513958
31	CD4+ T cell	NK/T	7.575410897203657	-1.3831790314741599
32	CD4+ T cell	NK/T	6.940903501519398	-1.8416119130179638
33	plasmablast	B lineage	-6.238738135628443	-11.457068071134017
34	CD4+ T cell	NK/T	5.762948615016644	-3.2210485955747674
35	CD8+ CXCR4+ T cell	NK/T	5.72352142253131	-4.005946825692588
36	CD8+ CXCR4+ T cell	NK/T	4.91869281961562	-5.082774104495607
37	CD8+ CXCR4+ T cell	NK/T	5.048576631225674	-4.475993216051237
38	CD4+ T cell	NK/T	6.290653214144472	-2.5962672561862057
39	CD4+ T cell	NK/T	7.994126950245602	-1.6815150963616252
